Pair,L1,a1,b1,L2,a2,b2,DV,DV normF3,DECIEDE2000
4.24,49.93,-16.24,-10.795,49.71,-16.08,-10.965,0.9288975286809318,0.520407686230273,0.285788634196954
4.25,49.93,-16.24,-10.795,49.875,-16.135,-10.92,0.9288975286809318,0.520407686230273,0.138454216362745
4.26,49.93,-16.24,-10.795,50.575,-16.07,-11.11,1.2507619953803784,0.700729774298615,0.699574321336938
4.27,49.93,-16.24,-10.795,49.245,-16.245,-11.115,0.9825416064641728,0.550461367201502,0.716677294197406
4.28,49.93,-16.24,-10.795,49.305,-15.56,-10.995,1.0898297620306552,0.610568730264444,0.82500648214598
4.29,49.93,-16.24,-10.795,49.8,-15.925,-10.375,0.9557195675725523,0.535434526996009,0.329136203418095
4.30,49.93,-16.24,-10.795,50.705,-16.055,-11.34,1.1166518009222757,0.62559557103018,0.881375340182104
4.31,49.93,-16.24,-10.795,49.475,-16.335,-10.91,1.1702958787055167,0.655649252561651,0.462727457976364
4.32,49.93,-16.24,-10.795,49.37,-16.405,-11.255,1.1702958787055167,0.655649252561651,0.631297423466139
4.33,49.93,-16.24,-10.795,49.78,-16.12,-10.89,0.7947873342228289,0.445273482401596,0.192062896872829
4.34,49.93,-16.24,-10.795,49.705,-16.065,-11.01,0.9557195675725523,0.535434526996009,0.311531629213727
4.35,49.93,-16.24,-10.795,49.8,-16.05,-10.99,0.8752534508976906,0.490354004698802,0.249526310352824
4.36,49.93,-16.24,-10.795,49.215,-15.955,-10.445,1.1434738398138964,0.640622411795915,0.760167308616988
4.37,49.93,-16.24,-10.795,49.425,-16.36,-11.075,0.9288975286809318,0.520407686230273,0.535846857932968
4.38,49.93,-16.24,-10.795,49.56,-15.835,-10.17,0.8752534508976906,0.490354004698802,0.569269076439599
4.39,49.93,-16.24,-10.795,49.79,-15.98,-10.785,0.9288975286809318,0.520407686230273,0.229198947397079
4.40,49.93,-16.24,-10.795,50.11,-16.255,-10.65,0.7143212175479672,0.400192960664632,0.206279766270629
4.41,49.93,-16.24,-10.795,50.045,-16.205,-10.72,1.1434738398138964,0.640622411795915,0.124899021486571
4.42,49.93,-16.24,-10.795,49.905,-16.05,-10.955,0.9557195675725523,0.535434526996009,0.196424564398923
4.43,49.93,-16.24,-10.795,50.38,-16.39,-11.185,1.0093636453557935,0.565488207967238,0.513946136060559
4.44,49.93,-16.24,-10.795,49.985,-16.065,-10.92,0.9288975286809318,0.520407686230273,0.177191185060732
4.45,49.93,-16.24,-10.795,50.315,-16.145,-10.895,0.9825416064641728,0.550461367201502,0.399787631096855
4.46,49.93,-16.24,-10.795,49.785,-16.185,-10.855,0.9557195675725523,0.535434526996009,0.158301448291435
4.47,49.93,-16.24,-10.795,49.8,-16.195,-10.96,0.6874991786563465,0.385166119898896,0.179219819467092
4.48,49.93,-16.24,-10.795,49.665,-16.09,-11.08,0.7679652953312082,0.430246641635861,0.359932799635064
4.49,49.93,-16.24,-10.795,49.535,-16.26,-10.87,0.8484314120060701,0.475327163933067,0.397779165184995
4.50,49.93,-16.24,-10.795,49.47,-16.27,-11.22,0.9825416064641728,0.550461367201502,0.536771431704734
4.51,49.93,-16.24,-10.795,49.44,-16.385,-11.175,1.1434738398138964,0.640622411795915,0.546323402427818
4.52,49.93,-16.24,-10.795,49.075,-15.975,-11.1,1.0630077231390345,0.595541889498709,0.910514095721775
4.53,49.93,-16.24,-10.795,48.585,-16.905,-11.02,1.223939956488758,0.685702933532879,1.41241695839222
4.54,49.93,-16.24,-10.795,49.745,-16.18,-10.885,0.9557195675725523,0.535434526996009,0.202834941533002
4.55,49.93,-16.24,-10.795,49.42,-16.34,-10.99,0.9825416064641728,0.550461367201502,0.525530062462488
4.56,49.93,-16.24,-10.795,50.025,-16.135,-10.97,0.8484314120060701,0.475327163933067,0.182556240254878
4.57,49.93,-16.24,-10.795,49.72,-16.05,-10.98,0.7143212175479672,0.400192960664632,0.295346688116374
4.58,49.93,-16.24,-10.795,49.76,-15.97,-11.095,0.8216093731144494,0.460300323167332,0.357999110890248
4.59,49.93,-16.24,-10.795,49.85,-16.155,-10.945,0.6338551008731055,0.355112438367425,0.153656362600498
4.60,49.93,-16.24,-10.795,49.42,-16.445,-11.155,0.7947873342228289,0.445273482401596,0.562900037230728
5.1,60.79,34.78,62.19,60.725,34.33,62.635,0.9288975286809318,0.520407686230273,0.374963467613528
5.2,60.79,34.78,62.19,60.075,35.215,62.52,1.1971179175971374,0.670676093327386,0.64971644253842
5.3,60.79,34.78,62.19,60.91,34.305,64.9,1.1971179175971374,0.670676093327386,1.1527992021612
5.4,60.79,34.78,62.19,60.67,34.46,59.805,0.902075489789311,0.505380845464538,0.773400765968345
5.5,60.79,34.78,62.19,60.87,34.1,60.725,0.5802110230898643,0.325058756835955,0.399434301166017
5.6,60.79,34.78,62.19,61.155,33.89,62.305,0.9557195675725523,0.535434526996009,0.601806859923132
5.7,60.79,34.78,62.19,61.03,34.29,59.52,0.660677139764726,0.370139279133161,0.848475092994905
5.8,60.79,34.78,62.19,60.44,34.125,61.985,0.6874991786563465,0.385166119898896,0.435199753436074
5.9,60.79,34.78,62.19,60.61,34.77,61.115,1.0898297620306552,0.610568730264444,0.417432022900453
5.10,60.79,34.78,62.19,60.07,34.88,64.445,0.9288975286809318,0.520407686230273,0.992238737181193
5.11,60.79,34.78,62.19,61.19,34.185,58.675,1.036185684247414,0.580515048732973,1.15564997160803
5.12,60.79,34.78,62.19,60.795,34.36,59.31,1.0630077231390345,0.595541889498709,0.9184925936398
5.13,60.79,34.78,62.19,60.535,34.73,59.2,1.1702958787055167,0.655649252561651,1.10390099539957
5.14,60.79,34.78,62.19,60.67,33.96,60.145,0.9288975286809318,0.520407686230273,0.563456121177026
5.15,60.79,34.78,62.19,60.535,33.945,59.405,0.7411432564395877,0.415219800870125,0.819454025612766
5.16,60.79,34.78,62.19,61.19,33.705,59.725,0.7947873342228289,0.445273482401596,0.750930260468602
5.17,60.79,34.78,62.19,60.95,34.195,63.37,0.9825416064641728,0.550461367201502,0.690867835928788
5.18,60.79,34.78,62.19,61.055,34.015,56.39,1.277584034271999,0.71575661506435,1.92406213599147
5.19,60.79,34.78,62.19,60.73,34.81,62.95,0.8752534508976906,0.490354004698802,0.267392095688157
5.20,60.79,34.78,62.19,61.28,33.52,59.97,0.9288975286809318,0.520407686230273,0.747724125805414
5.21,60.79,34.78,62.19,60.965,34.585,64.695,1.2507619953803784,0.700729774298615,0.97498503434945
5.22,60.79,34.78,62.19,60.665,34.465,63.065,0.9825416064641728,0.550461367201502,0.459624984858513
5.23,60.79,34.78,62.19,60.645,34.51,58.105,1.1434738398138964,0.640622411795915,1.42227897267333
5.24,60.79,34.78,62.19,60.935,34.37,59.195,0.8484314120060701,0.475327163933067,0.971945771592885
5.25,60.79,34.78,62.19,60.645,34.345,59.03,0.9288975286809318,0.520407686230273,1.0250323849251
5.26,60.79,34.78,62.19,61.425,33.325,63.24,1.2507619953803784,0.700729774298615,1.21064592811082
5.27,60.79,34.78,62.19,60.825,34.725,60.605,0.7411432564395877,0.415219800870125,0.55870223207128
5.28,60.79,34.78,62.19,60.895,34.585,62.28,0.8752534508976906,0.490354004698802,0.15850707077845
5.29,60.79,34.78,62.19,60.08,35.31,64.355,1.036185684247414,0.580515048732973,0.874478683415297
5.30,60.79,34.78,62.19,61.345,33.345,58.25,0.7411432564395877,0.415219800870125,1.19195568971513
5.31,60.79,34.78,62.19,61.555,33.415,59.12,0.7679652953312082,0.430246641635861,1.06334783497545
5.32,60.79,34.78,62.19,60.995,34.235,61.76,0.6338551008731055,0.355112438367425,0.2850552095019
5.33,60.79,34.78,62.19,60.24,34.79,62.595,0.8216093731144494,0.460300323167332,0.500885983699068
5.34,60.79,34.78,62.19,60.53,35.14,65.385,0.9557195675725523,0.535434526996009,1.03560195015058
5.35,60.79,34.78,62.19,60.15,35.815,63.49,1.1702958787055167,0.655649252561651,0.698396010826094
5.36,60.79,34.78,62.19,61.34,32.85,62.165,0.8752534508976906,0.490354004698802,1.15022728697431
5.37,60.79,34.78,62.19,60.625,34.515,63.42,0.8484314120060701,0.475327163933067,0.5653951227574
5.38,60.79,34.78,62.19,60.22,34.495,63.585,1.0630077231390345,0.595541889498709,0.789585027919324
5.39,60.79,34.78,62.19,59.8,34.78,63.64,0.9825416064641728,0.550461367201502,1.01029446601391
